id,norte,este
"1",4947557.221,261035.192
"2",4947455.192,260978.684
"3",4947376.708,261041.471
"4",4947312.744,260965.734
"5",4947284.097,261093.270
"6",4947423.013,261198.046
"7",4947448.128,261322.835
"8",4947556.043,261340.493
"9",4947584.690,261217.666
"10",4947490.117,261076.396
